redoslijed,naziv,opis,url,format,velicina_kb
1,Cjenovnik usluga (domaće tržište),Zvanični cjenovnik usluga (verzija 2018).,assets/dokumenti/cjenovnik-2018.pdf,PDF,75
2,Cjenovnik — skraćeni pregled,Skraćeni pregled naknada (verzija 2018).,assets/dokumenti/cjenovnik-skraceni-2018.pdf,PDF,433
3,Provizije — inostrana tržišta,Naknade za trgovanje na inostranim tržištima.,assets/dokumenti/cjenovnik-inostrana-trzista.pdf,PDF,299
4,Provizije — svjetske berze (2025),Pregled provizija za trgovanje na svjetskim berzama (oktobar 2025).,assets/dokumenti/cjenovnik-svjetske-berze-2025.pdf,PDF,219
