emitent,naziv,datum,jezik,fajl,tip,velicina_kb
BOKS,Analiza emitenta BOKS,15.02.2019,SR,assets/dokumenti/analize/analiza-boks-2019-02.pdf,PDF,172
BVRU,Analiza emitenta BVRU,15.01.2019,SR,assets/dokumenti/analize/analiza-bvru-2019-01.pdf,PDF,182
ELDO,Analiza emitenta ELDO,15.06.2019,SR,assets/dokumenti/analize/analiza-eldo-2019-06.pdf,PDF,203
HEDR,Analiza emitenta HEDR,15.08.2019,SR,assets/dokumenti/analize/analiza-hedr-2019-08.pdf,PDF,521
TGTN,Analiza emitenta TGTN,15.03.2019,SR,assets/dokumenti/analize/analiza-tgtn-2019-03.pdf,PDF,192
TLKM,Analiza emitenta TLKM,15.05.2019,SR,assets/dokumenti/analize/analiza-tlkm-2019-05.pdf,PDF,253
TLKM,Analiza emitenta TLKM,15.05.2019,EN,assets/dokumenti/analize/analiza-tlkm-2019-05-en.pdf,PDF,250
