oznaka,naziv,potreba,usluga,cta,link
A,Fizička lica — domaće tržište,"Uložiti dio štednje u nešto razumljivije i prinosnije od depozita, bez rizika koji se ne razumije.",Domaće posredovanje; obveznice RS; pregled portfelja,Otvorite račun,investiranje
B,Klijenti za strana tržišta,"Pristup globalnim akcijama, ETF-ovima i fjučersima preko domaćeg licenciranog društva.",Posredovanje na svjetskim tržištima,Otvorite račun za svjetska tržišta,svjetska-trzista
C,Dijaspora,"Ulagati iz inostranstva uz jasnu dokumentaciju i postupak na daljinu.",Svjetska tržišta; savjetovanje,Saznajte kako se ulaže iz dijaspore,edukacija
D,Imućni privatni klijenti,"Jedno mjesto i jedan sagovornik za veći portfelj.",Investiciono savjetovanje,Zakažite razgovor sa savjetnikom,investiciono-savjetovanje
E,Preduzetnici i vlasnici,"Alternativa isključivo bankarskom finansiranju.",Finansiranje putem tržišta kapitala,Provjerite spremnost kompanije,procjena-spremnosti
F,Emitenti i kompanije,"Pribaviti kapital emisijom obveznica ili akcija.",Emisija obveznica; dokapitalizacija,Zatražite inicijalni razgovor,emisija-obveznica
G,Institucionalni investitori,"Ugovoreni nivo usluge, izvještavanje i kontrola izvršenja.",Institucionalni program; blok-transakcije,Zatražite formalnu ponudu,institucionalni-program
H,Poslovni partneri,"Formalizovan kanal saradnje i upućivanja.",Partnerstva i saradnja,Zakažite razgovor,partneri
