pokazatelj,cilj_2027,opis
Udio digitalno otvorenih računa,≥ 60%,"Vrijeme od obrasca do aktiviranog računa najviše dva radna dana"
Udio novih računa za strana tržišta iz edukativnog kanala,≥ 20%,"Edukacija kao mjerljiv akvizicioni kanal"
Ugovoreni paketi investicionog savjetovanja,20,"Rast sa 5 paketa u 2026. na 20 u 2027."
Odziv na kvalifikovani upit,1 radni dan,"Obrazac → kontakt u jednom radnom danu"
Udio ugovora sa evidentiranim izvorom akvizicije,100%,"Danas evidentirano za 36,5% ugovora"
Prvi mandat za emisiju obveznica,sredina 2027,"Kvalifikovana prilika u registru korporativnog puta"
